,gu,total,남자20대미만,남자20대,남자30대,남자40대,남자50대,남자60대이상,여자20대미만,여자20대,여자30대,여자40대,여자50대,여자60대이상,20대미만,20대,30대,40대,50대,60대이상,male_total,female_total
0,강남구,7045518710.1097,624918597.8793,453287503.0053,670350980.0438,720933432.2879,489729202.5131,476461673.6208,564179775.3039,624509949.2325,688482507.5881,652621984.4381,436714432.196,643328666.8846,1189098373.1832,1077797452.2378,1358833487.6319,1373555416.726,926443634.7091,1119790340.5054,3435681389.3502,3609837315.6432
1,강동구,4378431935.7435,425356673.2769,231848980.5251,315715516.6888,355857887.491,301994516.9213,425626071.0026,371588372.9278,263645166.4624,354967740.4597,376010599.5198,349311200.892,606509209.9175,796945046.2047,495494146.9875,670683257.1485,731868487.0108,651305717.8133,1032135280.9201,2056399645.9057,2322032290.1792
2,강북구,2510129995.8231,188744114.9649,159509126.9899,157666749.5002,184824454.7769,186868337.4854,279068936.9895,178933692.4142,182185390.5173,162462334.0679,193105646.5814,216941451.7302,419819756.9914,367677807.3791,341694517.5072,320129083.5681,377930101.3583,403809789.2156,698888693.9809,1156681720.7068,1353448272.3024
3,강서구,4713889052.4901,387595747.0372,290788217.3058,432015321.7644,408639383.2914,305899995.5304,416023475.3189,361825821.9291,362593499.5316,442208981.6421,381033635.0369,331096197.8533,594168774.1925,749421568.9663,653381716.8374,874224303.4065,789673018.3283,636996193.3837,1010192249.5114,2240962140.2481,2472926910.1855
4,관악구,4075954808.4762,238714249.5187,456717941.8272,412667585.9706,316255193.8235,253948534.2922,334256353.7662,235766207.4311,478001531.2212,346315575.4412,269786185.1027,260128778.4624,473396671.433,474480456.9498,934719473.0484,758983161.4118,586041378.9262,514077312.7546,807653025.1992,2012559859.1984,2063394949.0916
5,광진구,3130358532.7852,230468492.8824,277193526.3233,251862617.6792,234917535.3576,213017059.8771,250163959.2607,245107835.6327,331797700.9867,268142882.0764,245119053.8887,233713167.2656,348854700.5515,475576328.5151,608991227.31,520005499.7556,480036589.2463,446730227.1427,599018659.8122,1457623191.3803,1672735340.4016
6,구로구,3360083071.9658,258354711.1743,205378028.4472,293074713.1954,304342501.4982,252036704.414,314340464.2329,254856234.5087,234738771.8696,290366447.7156,273410794.4104,256240512.3901,422943186.4726,513210945.683,440116800.3168,583441160.911,577753295.9086,508277216.8041,737283650.7055,1627527122.962,1732555947.367
7,금천구,1912522829.8562,103794569.0078,149133365.1745,206462156.1592,185670035.5833,161105409.7294,175657325.2628,101992991.4085,155952470.1591,168181653.7593,140053331.4147,146933063.3886,217586456.664,205787560.4163,305085835.3336,374643809.9185,325723366.998,308038473.118,393243781.9268,981822860.917,930699966.7942
8,노원구,4340461246.8662,452347268.5172,286973511.5702,247658840.5979,302707229.1012,291775277.9826,413525455.478,419623043.8147,292178640.4839,282601779.5396,359281157.4578,367315115.5476,624473925.7369,871970312.3319,579152152.0541,530260620.1375,661988386.559,659090393.5302,1037999381.2149,1994987583.2471,2345473662.5805
9,도봉구,2355255084.0122,200473477.2498,132836957.6688,146891409.8342,169087165.4781,170507088.4529,273551300.1512,180467108.3352,145432634.3898,156978040.6926,176789529.6108,209084310.8545,393156058.2051,380940585.585,278269592.0586,303869450.5268,345876695.08889997,379591399.3074,666707358.3563,1093347398.835,1261907682.088
10,동대문구,3020499219.3199,207881406.0771,265623434.9283,219348416.4151,228822945.755,213578457.7538,298648656.8348,213544779.7724,325469561.1041,221773684.8211,213276052.7898,212405409.5021,400126411.2166,421426185.8495,591092996.0324,441122101.2362,442098998.5448,425983867.2559,698775068.0514,1433903317.7641,1586595899.2061
11,동작구,3323067599.34,258900032.8698,300530464.3115,268905027.9235,249585191.6918,210046023.2561,286905344.4717,246221173.8851,317218757.9883,271012031.0938,250588516.3189,236076047.2575,427078987.4706,505121206.7549,617749222.2998,539917059.0173,500173708.0107,446122070.5136,713984331.9423,1574872084.5244,1748195514.0142
12,마포구,3901369938.6613,267718840.5014,325891904.55,362056480.6007,342202594.4662,243995282.4652,262078616.5327,277016951.9952,458870333.7711,400305005.2179,329166887.8613,253141666.1698,378925373.0145,544735792.4966,784762238.3211,762361485.8186,671369482.3275,497136948.635,641003989.5472,1803943719.1162,2097426218.0298
13,서대문구,3108409750.166,220087661.4585,246431775.8127,235642730.7692,243210184.5115,206298179.2521,248757264.8592,235775185.5866,352451292.5983,263531673.3391,245149180.2968,233427477.1191,377647141.8427,455862847.0451,598883068.411,499174404.1083,488359364.8083,439725656.3712,626404406.7019,1400427796.6632,1707981950.7826
14,서초구,4869369108.3588,420382773.6813,302230758.9864,422501160.005,492310134.9042,362939620.5371,372501509.4652,404675459.4855,375281002.2421,441810450.5326,449174877.325,332809864.4164,492751495.5417,825058233.1668,677511761.2285,864311610.5376,941485012.2292,695749484.9535,865253005.0069,2372865957.5792,2496503149.5433
15,성동구,2980130580.367,201452186.3154,238575818.0727,264839921.7068,256493182.0551,211705300.3731,248762675.558,206223122.7277,280784724.5629,282965404.8496,236376529.7769,214680007.2533,337271705.8545,407675309.0431,519360542.6356,547805326.5564,492869711.832,426385307.6264,586034381.4125,1421829084.0811,1558301495.0249
16,성북구,3635258016.844,339231186.7911,280910167.6719,233242814.3117,258688763.8748,240614919.8363,315202181.2736,324134273.981,333457379.796,261336039.6591,290694680.0287,277230812.8473,480514795.5782,663365460.7721,614367547.4679,494578853.9708,549383443.9035,517845732.6836,795716976.8518,1667890033.7594,1967367981.8903
17,송파구,6493689957.9269,604576327.1282,380336646.5831,536274140.4819,554059673.5486,437259861.0738,532889390.2134,574381694.6161,459616378.8001,595947720.0402,564549252.5369,495755268.0487,758043602.6417,1178958021.7443,839953025.3832,1132221860.5221,1118608926.0855,933015129.1225,1290932992.8551,3045396039.029,3448293916.6837
18,양천구,3250600707.8199,382887449.9309,169446093.5395,202909813.1235,260673759.8742,225917700.486,280591480.4653,345510253.0473,187059867.9704,230466289.1566,299707415.7263,258617194.2219,406813388.8263,728397702.9782,356505961.5099,433376102.2801,560381175.6005,484534894.7079,687404869.2916,1522426297.4194,1728174408.9488
19,영등포구,4111955070.4741,243090145.248,281892395.2226,440295353.8259,405494079.7975,323615039.5978,344553810.5219,240591983.5657,353250237.5765,423526240.879,332388092.1287,290395802.4892,432861888.6134,483682128.8137,635142632.7991,863821594.7049,737882171.9262,614010842.087,777415699.1353,2038940824.2137,2073014245.2525
20,용산구,2479281609.9252,150582957.1184,180806131.1522,250182703.6101,235311975.0963,181359277.7346,198753212.8738,143944066.0617,228222889.8828,259825074.9323,206059357.6847,173523578.6057,270710384.4847,294527023.1801,409029021.035,510007778.5424,441371332.781,354882856.3403,469463597.3585,1196996257.5854,1282285351.6519
21,은평구,3758896034.8372,330008450.4121,213740786.5264,258300937.2283,286839894.2117,251427091.7747,356821681.2333,309338672.6111,256460356.3068,302857104.3482,318466269.6575,314280865.8596,560353920.7396,639347123.0232,470201142.8332,561158041.5765,605306163.8692,565707957.6343,917175601.9729,1697138841.3865001,2061757189.5228
22,종로구,2422087775.2619,132087326.323,190532001.4172,197864669.0046,216545099.103,201836520.3209,235061866.0933,136970283.9784,248469483.9872,199693533.0796,194991436.2464,184763248.3753,283272306.3969,269057610.3014,439001485.4044,397558202.0842,411536535.3494,386599768.6962,518334172.4902,1173927482.262,1248160292.0638
23,중구,2264139538.9946,88438649.4744,162744444.4946,242280328.9969,247775521.292,197708300.2928,193426587.8265,92935654.7783,222636534.5147,236873341.41550002,192090468.1698,161944152.3038,225285554.8557,181374304.2527,385380979.0093,479153670.4124,439865989.4618,359652452.5966,418712142.6822,1132373832.3772,1131765706.0378
24,중랑구,3049437589.1359,230750305.5156,186384778.5999,225478278.2989,229509774.442,234158726.9088,324131590.1235,217623153.3523,208035765.7566,240090937.389,230624937.918,267943872.991,454705466.3797,448373458.8679,394420544.3565,465569215.6879,460134712.36,502102599.8998,778837056.5032,1430413453.8887,1619024133.7866
